Make,Model,'Vehicle Class','Engine Size(L)',Cylinders,Transmission,'Fuel Type','Fuel Consumption City (L/100 km)','Fuel Consumption Hwy (L/100 km)','Fuel Consumption Comb (L/100 km)','Fuel Consumption Comb (mpg)','CO2 Emissions(g/km)'
CHEVROLET,'EQUINOX AWD FFV','SUV - SMALL',2.4,4,A6,X,11.5,8.3,10.1,28,237
DODGE,'CHARGER AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
FORD,'Mustang (Performance Pkg)',SUBCOMPACT,2.3,4,AS10,X,11.8,8.4,10.3,27,242
AUDI,'A5 CABRIOLET QUATTRO',SUBCOMPACT,2,4,AS8,Z,11.3,8,9.8,29,230
GMC,'Sierra WT 4WD','PICKUP TRUCK - STANDARD',2.7,4,A8,X,12.7,11,12,24,280
MASERATI,'GHIBLI S',MID-SIZE,3,6,AS8,Z,14.5,10,12.4,23,293
AUDI,'A8 TDI (modified)',MID-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224
HONDA,'CIVIC SEDAN',MID-SIZE,2,4,AV,X,7.8,5.8,6.9,41,162
TOYOTA,'Camry Hybrid XLE/SE',MID-SIZE,2.5,4,AV6,X,5.3,5,5.1,55,121
MERCEDES-BENZ,'E 400 4MATIC',MID-SIZE,3,6,A9,Z,11.8,8.7,10.4,27,246
CHRYSLER,PACIFICA,MINIVAN,3.6,6,A9,X,12.9,8.4,10.9,26,257
TOYOTA,CAMRY,MID-SIZE,2.5,4,AS8,X,8.1,5.7,6.9,41,164
INFINITI,'QX80 4WD','SUV - STANDARD',5.6,8,AS7,Z,17.4,12.2,15.1,19,354
NISSAN,VERSA,MID-SIZE,1.6,4,AV,X,7.6,6.2,7,40,164
RAM,'1500 4X4 (MDS)','PICKUP TRUCK - STANDARD',5.7,8,A8,X,16.2,11.5,14.1,20,324
JEEP,'WRANGLER UNLIMITED 4X4','SUV - SMALL',3.6,6,M6,X,15,11.4,13.4,21,312
KIA,SORENTO,'SUV - SMALL',2.4,4,AS6,X,11.2,8.3,9.9,29,234
AUDI,'A4 QUATTRO',COMPACT,2,4,AS8,Z,11,7.8,9.6,29,224
BUICK,'ENCORE (LUV Engine)','SUV - SMALL',1.4,4,AS6,X,9.3,7.2,8.3,34,194
PORSCHE,'911 Carrera 4S',MINICOMPACT,3,6,AM7,Z,11.1,8.5,9.9,29,232
PORSCHE,'CAYMAN S',TWO-SEATER,3.4,6,AM7,Z,11.3,7.9,9.8,29,225
HYUNDAI,'ELANTRA GT',MID-SIZE,2,4,M6,X,9.8,7.2,8.7,32,204
MERCEDES-BENZ,'E 550 COUPE',SUBCOMPACT,4.7,8,AS7,Z,13.4,8.9,11.4,25,268
AUDI,'A7 quattro',MID-SIZE,3,6,AM7,Z,10.9,8.2,9.7,29,226
GMC,'Yukon 4WD','SUV - STANDARD',6.2,8,A10,Z,16.5,10.9,13.9,20,327
CHEVROLET,'SILVERADO 4WD','PICKUP TRUCK - STANDARD',4.3,6,A6,E,20.3,15.2,18,16,288
LINCOLN,'CONTINENTAL AWD',FULL-SIZE,3.7,6,AS6,X,14.3,9.7,12.2,23,287
HONDA,'CR-V AWD','SUV - SMALL',1.5,4,AV,X,8.7,7.4,8.1,35,189
CADILLAC,'CTS SEDAN',MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248
MAZDA,CX-9,'SUV - SMALL',3.7,6,AS6,X,14.2,10,12.3,23,283
CADILLAC,'XT4 AWD','SUV - SMALL',2,4,AS9,Z,10.9,8.2,9.7,29,227
CHEVROLET,Colorado,'PICKUP TRUCK - SMALL',2.5,4,M6,X,11.9,9.2,10.7,26,251
CHEVROLET,'MALIBU LIMITED',MID-SIZE,2.5,4,AS6,X,10,7,8.6,33,202
AUDI,'A7 quattro',MID-SIZE,3,6,AM7,Z,10.9,8.2,9.7,29,226
MERCEDES-BENZ,'B 250',MID-SIZE,2,4,AM7,Z,9.8,6.8,8.4,34,196
GMC,YUKON,'SUV - STANDARD',5.3,8,A6,E,20.2,13.6,17.2,16,275
BMW,'M240i COUPE',SUBCOMPACT,3,6,AS8,Z,11.1,7.8,9.6,29,224
AUDI,'RS 7',MID-SIZE,4,8,AS8,Z,16.6,9.4,13.3,21,313
CHEVROLET,EQUINOX,'SUV - SMALL',3.6,6,A6,X,14.2,9.5,12.1,23,285
BMW,'640i xDRIVE CABRIOLET',SUBCOMPACT,3,6,AS8,Z,12.3,8.4,10.5,27,248
DODGE,'CHARGER FFV',FULL-SIZE,3.6,6,A5,E,18.7,12.4,15.9,18,264
RAM,'1500 4X4 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,X,14.6,10.1,12.6,22,294
JEEP,'RENEGADE 4X4','SUV - SMALL',2.4,4,A9,X,11.2,8,9.8,29,225
CADILLAC,'XT6 AWD','SUV - SMALL',3.6,6,AS9,X,13.5,9.7,11.8,24,277
CHEVROLET,'SONIC 5 RS',MID-SIZE,1.4,4,AS6,X,9.4,7,8.3,34,191
FORD,'F-150 (LT Tire Pkg)','PICKUP TRUCK - STANDARD',2.7,6,AS6,X,12.4,9.8,11.2,25,263
MINI,'JOHN COOPER WORKS COUNTRYMAN ALL4',COMPACT,1.6,4,AS6,Z,10.1,7.8,9,31,207
'LAND ROVER','Range Rover Velar P250','SUV - SMALL',2,4,AS8,Z,11.2,8.9,10.2,28,238
FORD,FUSION,MID-SIZE,2.5,4,A6,X,11.3,7.5,9.6,29,224
AUDI,A3,SUBCOMPACT,2,4,AM7,X,9.1,6.8,8.1,35,188
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.8,8.8,32,202
RAM,'1500 4X4 eTorque','PICKUP TRUCK - STANDARD',5.7,8,A8,X,14.2,10.9,12.8,22,299
MERCEDES-BENZ,'AMG GLE 43 4MATIC','SUV - STANDARD',3,6,A9,Z,13.6,10.1,12,24,281
TOYOTA,'TACOMA 4WD','PICKUP TRUCK - SMALL',2.7,4,A4,X,13.1,11.3,12.3,23,283
CHEVROLET,'CAMARO SS',COMPACT,6.2,8,M6,Z,15,9.9,12.7,22,292
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',5,8,AS10,X,13.9,10.2,12.2,23,286
BMW,'440i xDRIVE COUPE',COMPACT,3,6,AS8,Z,11.1,7.5,9.5,30,223
SUBARU,BRZ,MINICOMPACT,2,4,M6,Z,10.9,7.9,9.6,29,224
PORSCHE,'911 TURBO CABRIOLET',MINICOMPACT,3.8,6,AM7,Z,13.7,9.6,11.9,24,274
SCION,xD,SUBCOMPACT,1.8,4,M5,X,8.6,7.1,7.9,36,182
VOLKSWAGEN,'JETTA HYBRID',COMPACT,1.4,4,AM7,Z,5.6,4.9,5.3,53,122
JEEP,'COMPASS 4X4','SUV - SMALL',2.4,4,A9,X,10.8,7.8,9.5,30,222
CHEVROLET,COLORADO,'PICKUP TRUCK - SMALL',3.6,6,A8,X,13.4,9.6,11.7,24,274
TOYOTA,'RAV4 LIMITED AWD','SUV - SMALL',2.5,4,AS6,X,10.6,8.2,9.5,30,218
AUDI,'TT COUPE QUATTRO',SUBCOMPACT,2,4,AM6,Z,10.4,7.6,9.1,31,209
BMW,'530i xDrive',MID-SIZE,2,4,AS8,Z,10.2,7.2,8.8,32,207
VOLKSWAGEN,'GOLF SPORTWAGEN','STATION WAGON - SMALL',1.8,4,AS6,X,9.3,6.9,8.2,34,192
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,21,13.1,17.5,16,408
PORSCHE,PANAMERA,FULL-SIZE,3,6,AM8,Z,11,8.3,9.8,29,229
MINI,'COOPER S 3 DOOR',SUBCOMPACT,2,4,AS6,Z,9.2,7,8.2,34,193
BMW,M2,SUBCOMPACT,3,6,M6,Z,13.1,9.2,11.4,25,267
JEEP,'WRANGLER UNLIMITED 4X4 (4-DOOR)','SUV - SMALL',3.6,6,A5,X,14.8,11.7,13.4,21,308
VOLVO,'XC60 T5','SUV - SMALL',2,4,AS8,X,9.8,7.6,8.8,32,202
MAZDA,'MAZDA3 5-DOOR',MID-SIZE,2.5,4,AS6,X,9,6.7,7.8,36,183
FORD,F-150,'PICKUP TRUCK - STANDARD',5,8,AS10,X,14.1,10.4,12.4,23,292
PORSCHE,'911 CARRERA 4 CABRIOLET',MINICOMPACT,3,6,AM7,Z,11,8.4,9.8,29,230
VOLKSWAGEN,Jetta,COMPACT,1.4,4,M6,X,7.9,5.9,7,40,163
CADILLAC,'XT5 AWD','SUV - SMALL',3.6,6,AS8,X,12.8,9.3,11.2,25,263
HYUNDAI,'Santa Fe XL Ultimate AWD','SUV - SMALL',3.3,6,AS6,X,14.1,10.8,12.6,22,297
MERCEDES-BENZ,'AMG GT S COUPE',TWO-SEATER,4,8,AM7,Z,14.5,10.8,12.8,22,302
SUBARU,'WRX AWD',COMPACT,2,4,AV8,Z,12.9,9.7,11.5,25,263
BMW,'Z4 sDRIVE35i',TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20,325
RAM,'1500 4X4 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,X,14.6,10.1,12.6,22,290
CHEVROLET,TAHOE,'SUV - STANDARD',5.3,8,A6,X,14.9,10.1,12.7,22,292
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
BMW,M2,SUBCOMPACT,3,6,M6,Z,13.1,9.2,11.4,25,267
KIA,RIO,COMPACT,1.6,4,AS6,X,8.8,6.5,7.8,36,181
HONDA,HR-V,'SUV - SMALL',1.8,4,AV7,X,8.3,6.7,7.6,37,177
CHEVROLET,Impala,FULL-SIZE,3.6,6,AS6,X,12.7,8.5,10.8,26,254
BMW,'M5 Competition',MID-SIZE,4.4,8,AS8,Z,16,11.2,13.9,20,324
KIA,'Sorento AWD','SUV - SMALL',2.4,4,AS6,X,11.2,9,10.2,28,242
CHEVROLET,TRAX,'SUV - SMALL',1.4,4,AS6,X,9.3,7.2,8.3,34,194
CHEVROLET,'Silverado 4WD Custom Trail Boss','PICKUP TRUCK - STANDARD',5.3,8,A6,X,16.7,13.1,15.1,19,354
SCION,xB,'STATION WAGON - SMALL',2.4,4,M5,X,10.8,8.5,9.8,29,225
BMW,'M4 Coupe Competition',COMPACT,3,6,AM7,Z,14.3,10.4,12.6,22,294
BMW,'328i xDRIVE GRAN TURISMO',FULL-SIZE,2,4,AS8,Z,10.6,7.2,9.1,31,209
VOLKSWAGEN,'BEETLE DUNE',COMPACT,2,4,AS6,X,9.1,6.9,8.1,35,189
GMC,Terrain,'SUV - SMALL',1.6,4,A6,D,8.5,6,7.4,38,199
RAM,'1500 4X4 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,E,20.5,14.5,17.8,16,285
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,8.8,6.6,7.8,36,184
JEEP,'CHEROKEE FFV','SUV - SMALL',2.4,4,A9,X,10.9,7.7,9.5,30,223
FORD,'F-150 FFV (LT Tire Pkg)','PICKUP TRUCK - STANDARD',5,8,AS10,X,14.7,11.2,13.1,22,307
JAGUAR,'F-TYPE R COUPE AWD',TWO-SEATER,5,8,AS6,Z,15.6,10.4,13.3,21,311
CHRYSLER,'200 FFV',MID-SIZE,3.6,6,A9,E,16.5,10.1,13.6,21,218
BMW,'M6 GRAN COUPE',COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,344
LAMBORGHINI,'AVENTADOR ROADSTER',TWO-SEATER,6.5,12,AM7,Z,23.6,14.1,19.3,15,452
BMW,'428i xDRIVE GRAN COUPE',COMPACT,2,4,AS8,Z,10.6,7.2,9.1,31,209
CHEVROLET,SILVERADO,'PICKUP TRUCK - STANDARD',5.3,8,A6,X,14.6,10.3,12.7,22,298
LEXUS,'GS 350 F SPORT',MID-SIZE,3.5,6,AS8,Z,12.5,8.6,10.7,26,251
JEEP,'WRANGLER UNLIMITED 4X4','SUV - SMALL',3.6,6,M6,X,15,11.4,13.3,21,312
BMW,320i,COMPACT,2,4,AS8,Z,10,6.5,8.4,34,200
HYUNDAI,ELANTRA,MID-SIZE,1.8,4,M6,X,8.8,6.4,7.7,37,177
GMC,'SIERRA FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,E,19.7,13.9,17.1,17,284
GMC,'SIERRA 4WD','PICKUP TRUCK - STANDARD',4.3,6,A6,X,14.1,10.6,12.5,23,288
MERCEDES-BENZ,'B 250',MID-SIZE,2,4,AS7,Z,9.2,6.6,8,35,188
INFINITI,'Q60 AWD COUPE',SUBCOMPACT,3.7,6,AS7,Z,13.3,9.4,11.5,25,265
BMW,'M6 GRAN COUPE',COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
LEXUS,'NX 200t AWD','SUV - SMALL',2,4,AS6,Z,10.6,8.4,9.6,29,225
VOLVO,'XC60 T5 AWD','SUV - SMALL',2,4,AS8,Z,11.3,8.5,10,28,233
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Z,20,12.4,16.6,17,387
CHRYSLER,'TOWN & COUNTRY FFV',MINIVAN,3.6,6,A6,X,14.1,9.5,12,24,276
CHEVROLET,EQUINOX,'SUV - SMALL',1.6,4,A6,D,8.5,6,7.4,38,198
GMC,'YUKON 4WD','SUV - STANDARD',5.3,8,A6,E,20.5,14,17.6,16,282
'ALFA ROMEO','Giulia Quadrifoglio',MID-SIZE,2.9,6,A8,Z,13.5,9.3,11.6,24,271
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,9.1,6.7,8,35,187
NISSAN,'PATHFINDER HYBRID 4WD','SUV - STANDARD',2.5,4,AV,X,9.1,8.5,8.8,32,202
BUICK,LACROSSE,MID-SIZE,3.6,6,AS9,X,11.3,7.9,9.7,29,228
CHEVROLET,'EXPRESS 1500 CARGO CONV AWD','VAN - CARGO',5.3,8,A4,X,18.3,14.2,16.5,17,380
LEXUS,'IS 350 C',SUBCOMPACT,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
DODGE,'CHARGER (MDS)',FULL-SIZE,5.7,8,A8,X,14.8,9.3,12.3,23,289
VOLKSWAGEN,'TIGUAN 4MOTION','SUV - SMALL',2,4,AS6,Z,11.6,9.3,10.6,27,248
PORSCHE,'911 CARRERA 4S',MINICOMPACT,3.8,6,AM7,Z,12.2,8.9,10.7,26,251
BMW,'X3 xDrive30i','SUV - SMALL',2,4,AS8,Z,10,8.2,9.2,31,215
FORD,'FOCUS FFV',COMPACT,2,4,M5,X,9.3,6.7,8.1,35,186
FORD,'Mustang Bullitt',SUBCOMPACT,5,8,M6,X,16.4,10.2,13.6,21,319
PORSCHE,'911 CARRERA CABRIOLET',MINICOMPACT,3.4,6,M7,Z,12.4,8.6,10.7,26,246
FORD,MUSTANG,SUBCOMPACT,5,8,AS6,X,14.9,9.5,12.4,23,292
TOYOTA,'COROLLA LE ECO (1-mode)',MID-SIZE,1.8,4,AV,X,7.8,5.9,6.9,41,163
PORSCHE,'911 Carrera 4 GTS',MINICOMPACT,3,6,M7,Z,12.8,8.9,11,26,257
NISSAN,QUEST,MINIVAN,3.5,6,AV,X,12,8.7,10.5,27,242
AUDI,'TT Roadster quattro',TWO-SEATER,2,4,AM7,X,10.3,7.7,9.1,31,213
FORD,'F-150 FFV 4X4','PICKUP TRUCK - STANDARD',3.5,6,A6,E,18.9,14.2,16.8,17,269
MAZDA,MX-5,TWO-SEATER,2,4,AS6,Z,11.5,8.5,10.2,28,235
LEXUS,'IS 350',COMPACT,3.5,6,AS8,Z,12.3,8.5,10.6,27,244
GMC,Canyon,'PICKUP TRUCK - SMALL',2.8,4,A6,D,11.8,7.9,10.1,28,270
PORSCHE,'911 CARRERA CABRIOLET',MINICOMPACT,3.4,6,AM7,Z,11.5,8.4,10.1,28,236
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,8.1,6.2,7.2,39,166
FORD,Mustang,SUBCOMPACT,5,8,M6,X,16.1,9.9,13.3,21,311
KIA,'FORTE KOUP',COMPACT,2,4,M6,X,9.8,7.2,8.6,33,198
MINI,'COOPER S CONVERTIBLE',MINICOMPACT,2,4,AS6,Z,9.7,7,8.5,33,198
FORD,'ESCAPE AWD','SUV - SMALL',2,4,AS6,X,11.2,8.5,10,28,230
BMW,'535i xDRIVE GRAN TURISMO',FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246
SUBARU,BRZ,MINICOMPACT,2,4,AS6,Z,9.6,7.1,8.5,33,196
BMW,'X6 M','SUV - STANDARD',4.4,8,A6,Z,18.1,13.7,16.1,18,370
BUICK,VERANO,COMPACT,2,4,AS6,Z,11.4,7.9,9.8,29,231
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,8.1,6.2,7.2,39,166
HYUNDAI,'Palisade AWD','SUV - STANDARD',3.8,6,AS8,X,12.3,9.6,11.1,25,265
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',3.5,6,A6,X,13.2,9.6,11.6,24,272
DODGE,'CHALLENGER SRT HELLCAT',MID-SIZE,6.2,8,M6,Z,18.1,11.4,15.1,19,352
SUBARU,'FORESTER AWD','SUV - SMALL',2.5,4,M6,X,10.6,8.4,9.6,29,227
VOLVO,'S60 T5 AWD',COMPACT,2.5,5,AS6,X,11.6,8.2,10.1,28,232
MERCEDES-BENZ,'CLA 250 4MATIC',SUBCOMPACT,2,4,AS7,Z,9.9,7.4,8.8,32,202
TOYOTA,'Prius c',COMPACT,1.5,4,AV,X,4.9,5.5,5.1,55,120
AUDI,A3,SUBCOMPACT,2,4,AM7,X,8.8,6.5,7.8,36,182
LAMBORGHINI,'Huracan Performante Spyder',TWO-SEATER,5.2,10,AM7,Z,17.9,13,15.7,18,370
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,14.6,8.1,11.7,24,269
GMC,SIERRA,'PICKUP TRUCK - STANDARD',6.2,8,A8,Z,15.9,11.2,13.8,20,323
JAGUAR,'F-TYPE S COUPE',TWO-SEATER,3,6,AS8,Z,12.4,8.8,10.8,26,253
MERCEDES-BENZ,'E 450 4MATIC Cabriolet',SUBCOMPACT,3,6,A9,Z,12.7,10.1,11.6,24,271
TOYOTA,Corolla,MID-SIZE,1.8,4,M6,X,8.5,6.6,7.6,37,178
HYUNDAI,'TUCSON 4WD','SUV - SMALL',2,4,A6,X,11.4,9.3,10.5,27,242
SUBARU,'BRZ tS',MINICOMPACT,2,4,M6,Z,11.6,8.6,10.2,28,239
NISSAN,'SENTRA (Turbo)',MID-SIZE,1.6,4,AV7,Z,8.9,7.3,8.2,34,193
JEEP,COMPASS,'SUV - SMALL',2.4,4,A6,X,11.2,8.6,10,28,235
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,14.2,9,11.9,24,278
KIA,'FORTE KOUP',COMPACT,2,4,AS6,X,9.7,7.1,8.6,33,198
KIA,RIO,COMPACT,1.6,4,AS6,X,8.8,6.5,7.8,36,181
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,8.8,6.1,7.6,37,178
BMW,'Z4 sDrive30i',TWO-SEATER,2,4,AS8,Z,9.5,7.4,8.5,33,200
GMC,'Acadia AWD','SUV - STANDARD',2.5,4,A6,X,11.3,9.4,10.5,27,248
BMW,'535i xDRIVE GRAN TURISMO',FULL-SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246
KIA,'FORTE 5',FULL-SIZE,2,4,M6,X,9.7,6.9,8.4,34,197
MERCEDES-BENZ,'AMG SL 63',TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4,23,298
VOLVO,'XC60 T5','SUV - SMALL',2,4,AS8,X,10.4,7.8,9.2,31,216
PORSCHE,'911 GT3RS',TWO-SEATER,4,6,AM7,Z,16.3,11.8,14.3,20,334
DODGE,'Durango AWD','SUV - STANDARD',3.6,6,A8,X,12.7,9.6,11.3,25,265
ACURA,'TL AWD',MID-SIZE,3.7,6,AS6,Z,12.8,9,11.1,25,255
JEEP,'RENEGADE FFV','SUV - SMALL',2.4,4,A9,X,10.8,7.8,9.5,30,222
HYUNDAI,Elantra,MID-SIZE,1.6,4,AM7,X,8.9,7,8.1,35,189
BMW,'X3 xDRIVE28d','SUV - SMALL',2,4,AS8,D,8.6,6.9,7.9,36,213
PORSCHE,'911 Carrera T',MINICOMPACT,3,6,M7,Z,14.6,9.4,12.3,23,286
DODGE,'CHARGER AWD',FULL-SIZE,3.6,6,A8,X,12.8,8.7,11,26,258
VOLVO,'S60 T5 AWD',COMPACT,2.5,5,AS6,X,11.6,8.2,10.1,28,232
BMW,'Z4 sDRIVE35i',TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278
TOYOTA,'TUNDRA 4WD','PICKUP TRUCK - STANDARD',5.7,8,AS6,X,18.2,14.1,16.3,17,380
LEXUS,'RX 450h AWD','SUV - STANDARD',3.5,6,AV6,Z,7.7,8.2,8,35,186
MERCEDES-BENZ,'AMG GLC 43 4MATIC','SUV - SMALL',3,6,A9,Z,12.5,9.6,11.2,25,262
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269
DODGE,'CHALLENGER (MDS)',MID-SIZE,5.7,8,A8,X,14.7,9.4,12.3,23,289
FORD,Mustang,SUBCOMPACT,5,8,M6,X,16.1,9.9,13.3,21,311
TOYOTA,'CAMRY HYBRID XLE/SE',MID-SIZE,2.5,4,AV,X,5.7,6,5.9,48,137
BMW,'428i COUPE',COMPACT,2,4,M6,Z,10.7,7,9,31,211
JAGUAR,'F-TYPE CONVERTIBLE',TWO-SEATER,3,6,M6,Z,14.9,9.8,12.6,22,296
KIA,CADENZA,FULL-SIZE,3.3,6,AS6,X,12.7,8.4,10.7,26,251
SUBARU,WRX,COMPACT,2.5,4,M6,Z,13.8,10.2,12.2,23,281
TOYOTA,Corolla,MID-SIZE,1.8,4,AV7,X,8.3,6.7,7.6,37,178
JAGUAR,'F-TYPE CONVERTIBLE',TWO-SEATER,3,6,M6,Z,14.9,9.8,12.6,22,296
CHEVROLET,Trax,'SUV - SMALL',1.4,4,AS6,X,9.1,7.6,8.4,34,196
MERCEDES-BENZ,'METRIS CARGO','SPECIAL PURPOSE VEHICLE',2,4,AS7,Z,11.1,9.1,10.2,28,240
ACURA,TLX,COMPACT,2.4,4,AM8,Z,9.6,6.6,8.3,34,191
HONDA,'Civic Coupe Si',COMPACT,1.5,4,M6,Z,8.4,6.2,7.4,38,173
PORSCHE,'CAYENNE S','SUV - STANDARD',4.8,8,A8,Z,15.5,10.7,13.2,21,310
KIA,'SORENTO AWD','SUV - SMALL',2,4,AS6,X,12.3,9.3,10.9,26,259
INFINITI,'QX80 4WD','SUV - STANDARD',5.6,8,AS7,Z,17.8,12.3,15.3,18,360
'LAND ROVER','Range Rover TD6 Diesel','SUV - STANDARD',3,6,AS8,D,10.7,8.3,9.6,29,256
CHEVROLET,'TAHOE FFV','SUV - STANDARD',5.3,8,A6,X,15.1,10.4,13,22,304
CHEVROLET,'SILVERADO 4WD FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,E,20.5,14.4,17.8,16,295
JAGUAR,'XE 35t AWD',COMPACT,3,6,AS8,Z,11.8,8.2,10.2,28,238
PORSCHE,'PANAMERA TURBO',FULL-SIZE,4.8,8,AM7,Z,15.3,9.7,12.8,22,300
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.5,6,47,141
HONDA,'CIVIC SEDAN',MID-SIZE,1.5,4,AV,X,7.6,5.5,6.7,42,157
'ASTON MARTIN','V8 VANTAGE',TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,362
TOYOTA,Highlander,'SUV - SMALL',3.5,6,AS8,X,11.9,8.3,10.3,27,240
TOYOTA,'Highlander Hybrid AWD Limited/Platinum','SUV - STANDARD',2.5,4,AV,X,6.6,6.8,6.7,42,156
NISSAN,'QASHQAI AWD','STATION WAGON - SMALL',2,4,AV,X,9.1,7.5,8.4,34,197
AUDI,Q5,'SUV - SMALL',3,6,AS8,Z,13.2,9.2,11.4,25,262
MINI,'COOPER S COUNTRYMAN ALL4',COMPACT,1.6,4,A6,Z,10,7.8,9,31,207
FORD,MUSTANG,SUBCOMPACT,5,8,M6,X,15.5,9.4,12.7,22,298
DODGE,'CHALLENGER SRT',MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,326
BUICK,'Envision AWD','SUV - SMALL',2,4,A9,Z,11.7,9.4,10.7,26,250
VOLKSWAGEN,GOLF,COMPACT,1.8,4,AS6,X,9.3,6.5,8.1,35,186
MERCEDES-BENZ,'B 250 4MATIC','STATION WAGON - SMALL',2,4,AM7,Z,10.3,7.8,9.1,31,215
LEXUS,'RC 350 AWD',SUBCOMPACT,3.5,6,AS6,Z,13.1,9.8,11.2,25,262
JEEP,'RENEGADE 4X4','SUV - SMALL',1.4,4,M6,X,9.9,7.7,8.9,32,211
MINI,'JOHN COOPER WORKS 3 DOOR',SUBCOMPACT,2,4,AS6,Z,9.3,7.2,8.3,34,196
NISSAN,QUEST,MINIVAN,3.5,6,AV,X,12.5,9.5,11.1,25,255
MITSUBISHI,LANCER,COMPACT,2.4,4,AV6,X,9.9,7.7,8.9,32,206
GMC,'Sierra FFV','PICKUP TRUCK - STANDARD',5.3,8,A6,E,21.1,15,18.4,15,306
HYUNDAI,'SANTA FE SPORT','SUV - SMALL',2.4,4,AS6,X,11.1,8.6,10,28,235
MINI,'COOPER CONVERTIBLE',MINICOMPACT,1.5,3,M6,Z,8.2,6,7.2,39,170
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11,26,253
HONDA,HR-V,'SUV - SMALL',1.8,4,M6,X,9.3,7,8.3,34,193
CHEVROLET,'CORVETTE Z06',TWO-SEATER,6.2,8,AS8,Z,17.7,10.2,14.3,20,335
TOYOTA,'Camry LE/SE',MID-SIZE,2.5,4,AS8,X,8.4,6.1,7.4,38,173
MASERATI,'Levante Trofeo','SUV - STANDARD',3.8,8,AS8,Z,17.9,12.9,15.3,18,360
MERCEDES-BENZ,'AMG C 43 4MATIC',COMPACT,3,6,A9,Z,12.4,8.7,10.7,26,253
CHEVROLET,'EQUINOX AWD','SUV - SMALL',3.6,6,A6,X,14.8,9.9,12.6,22,290
CADILLAC,'ATS AWD',COMPACT,3.6,6,AS6,X,12.8,8.9,11,26,253
AUDI,A4,COMPACT,2,4,AM7,Z,8.6,6.9,7.8,36,182
VOLKSWAGEN,GOLF,COMPACT,1.8,4,AS6,X,9.3,6.5,8.1,35,186
FORD,'F-150 FFV','PICKUP TRUCK - STANDARD',5,8,AS6,E,22.1,16.7,19.7,14,315
AUDI,SQ5,'SUV - SMALL',3,6,AS8,Z,12.7,10,11.5,25,270
BMW,'Alpina B7 xDrive',FULL-SIZE,4.4,8,AS8,Z,14,9.6,12,24,282
SUBARU,'OUTBACK AWD','SUV - SMALL',2.5,4,AV,X,9.9,7.8,9,31,207
VOLVO,'V60 POLESTAR','STATION WAGON - SMALL',2,4,AS8,Z,11.8,8.5,10.3,27,241
HYUNDAI,VELOSTER,COMPACT,1.6,4,M6,X,9.1,6.7,8,35,184
CHEVROLET,SILVERADO,'PICKUP TRUCK - STANDARD',5.3,8,A8,X,14.9,10.9,13.1,22,307
RAM,'1500 4X4 FFV','PICKUP TRUCK - STANDARD',3.6,6,A8,X,14.6,10.1,12.6,22,294
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,15.5,9.2,12.7,22,297
MAZDA,'CX-3 4WD',COMPACT,2,4,AS6,X,8.6,7.4,8.1,35,189
DODGE,'DART FFV',MID-SIZE,2,4,A6,E,14.2,9.8,12.2,23,195
